,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
6/1/1968,-0.1797042399,-0.7996028426,1.0124045311,0.6200404005,0.3134283983,-0.1165462897,0.5863921222,0.3128604179,-0.3643129873,0.9057856931,0.5017888556,0.757422747,0.0037902305,0.043083641,0.0196292552,0.1089731637,0.2922068834,0.1585681117,0.561164978,-0.195018356,0.3421050753,0.4190857552,-0.415306538,0.3544086262,0.2734926946,0.2818492537,0.1336544447,-0.0886444171,0.2227677862,0.7101872062,0.7722746901,0.4649520673,0.0407991452,0.5156674985,-0.8121407018,0.2872406059,0.4715988128,0.5196144757,0.2465034582,0.20275478,0.5411265615,1.1736208842,0.6809919658,1.0053716522,0.7773027199,0.4774076602,0.2522106287,0.1825566245,-0.2100339867,0.2497706103,-0.1658945173
7/1/1968,0.3593599944,3.5685425437,1.5572592605,0.4272467017,0.4383863928,0.3835728301,-0.0585267821,0.7027860084,0.4214920691,0.684593187,0.6869672598,0.5469590042,0.3328348799,0.0629265463,0.3124826376,0.0583442361,0.4647172885,0.345608852,-0.0698332438,0.360845097,0.3608742254,-0.04293631,0.9257433722,0.4107632513,-0.0771019546,-0.0598895716,-0.1990356531,0.1162514653,0.4663806529,0.1943244347,0.4744529309,-0.0203581268,-0.0532141886,0.6111518546,0.2291319695,0.1213023855,0.1496158053,0.642601505,0.0713608769,0.3497429679,0.4829567691,-0.2633407737,0.4670874882,0.5034861722,0.8337301498,0.8126276759,0.8349400652,0.7900254717,-0.1015636827,0.3759805948,0.613494507
8/1/1968,0.5158927888,1.212803942,0.8273472248,0.6536311647,0.6283371383,0.4504414655,-0.0918585123,-0.5154146469,-0.0501534134,0.7359471101,0.5300717034,-0.5826761138,0.5868478699,0.1823464302,0.0612109366,0.346004384,-0.2823693362,0.2260867495,0.1467909385,0.4589443487,0.3397586526,0.2443141637,1.0008311681,0.7555935592,0.5437215226,0.1361236369,0.3912611588,0.3750841442,0.5741533729,0.3725553717,0.1130540234,0.2936230297,0.3415181695,0.3439430173,0.2275405953,0.0067108428,0.1922828527,0.6450694101,0.219039509,0.0387475161,0.6184609922,-0.0052574269,0.7019483344,0.3639965615,0.5276703721,0.3971164163,0.4676524381,0.8377363271,0.4917382133,0.1288409715,0.5257365351
9/1/1968,0.0742182884,-0.1162967711,-0.1452057556,-0.0199954341,0.0627249984,0.3956144048,-0.3076621021,0.2965853895,0.4115051416,0.2913614585,0.2393252102,1.3025841601,0.3547811023,0.1026852562,0.2362998435,-0.0666236862,0.4697248417,-0.1185201505,-0.1283870257,0.3433593733,0.4600901439,0.3822114682,0.5132477353,0.2692321776,0.0584817072,0.6786755597,0.2875339813,0.0004283097,0.8349358126,0.0982406397,0.1933673183,0.398451304,-0.0484594656,0.2635325838,-0.1199035309,0.2453925557,0.4520564081,0.4397725689,0.0114775591,-0.0122297991,-0.0497624038,0.1896203492,-0.2670214219,0.4432395855,0.277162823,-0.1088346709,0.249050708,-0.3417411275,0.0384447423,0.2265727536,0.3292344167
10/1/1968,0.2929720105,0.0680531018,0.5240270852,0.5924409758,0.4334977802,1.0856169365,0.7924325945,0.4640165503,-2.1809754571,0.5543426167,0.4796830004,0.6911986341,-0.0460149094,0.3988704569,-0.3722779148,0.3701215475,0.1627443445,1.5908813346,0.0034211177,0.2187468975,0.4514159021,0.2492392,0.5111456337,0.2865802622,0.4100241667,0.6207787262,-0.1579563726,0.6467160544,1.1173315265,0.7055480969,0.3851664388,0.5265823776,0.169657398,0.2963635538,0.5335151829,0.2424759685,0.3726036562,0.0540422191,0.1782552828,-0.3494877367,0.2548329821,0.3723753614,0.9009610816,0.3040012054,-0.0833314935,0.1279395697,0.2676020924,0.3541474309,-1.6081202772,0.5798938843,0.2478264057
11/1/1968,0.0203002152,0.3805147337,0.7273314461,0.5759360964,0.4784319227,0.9299873353,0.0873392206,0.5305268868,0.7520201354,0.8989230723,0.4461293576,0.7216360935,0.324107271,0.2678010187,1.4845727487,0.4301329481,0.2039419475,0.5626785516,-0.0432624506,0.409421799,0.6865345775,0.4209621818,-0.0120824971,0.4779006999,0.3832676834,0.3054933431,0.1802130216,0.1375429006,1.1072967315,0.2235643988,0.0426272099,0.5369982538,0.079768157,0.3764730097,0.5513676579,0.5497048227,0.5042285755,0.3611195544,0.4768516281,0.7600143941,0.3923169803,0.2404160075,0.5326711408,0.7192748465,0.4229522353,0.0586057724,0.3628194941,0.2672445161,2.21348247,0.532938186,0.3960518257
12/1/1968,0.2802190162,0.1641005183,0.6536384819,0.3390115546,0.3163500385,0.0279694324,0.064531642,0.3187118947,0.0492855637,0.6948689391,0.3921756406,0.4643231046,0.6228885301,0.1404009501,0.4327519715,0.1900441067,0.1242604104,0.14026195,0.4428713687,0.1841784688,0.2699482838,0.2271145097,0.4737016609,0.2876107507,0.6441953902,0.1029755855,0.4593435026,0.354956231,0.4780414706,0.0646967396,0.2698859766,0.154852486,0.5049633022,0.3914329411,-0.0086962651,0.2116564628,0.3922832126,0.5281662963,0.203144485,0.0549715006,0.4879208271,0.2601458715,0.3223484742,0.5144515028,-0.1627633277,0.4559730327,0.1828117992,0.4490167346,0.003197863,0.2101305852,-0.222294793
1/1/1969,0.5209972684,1.3901287234,0.9361417816,0.6213084709,0.5539900787,0.3776988985,0.6460669157,0.9272377596,0.1438083218,0.6359398228,0.5363411334,0.8589676487,0.8772054934,0.3305338542,0.4309808583,0.3424632755,0.270542507,0.085575709,-1.2420942213,0.6454169253,0.2193773986,0.2495143929,1.1093554385,0.5147862162,0.3830600142,0.6535997023,-0.0125016774,0.2922697315,0.4854355089,0.4441527651,0.3758418559,0.6396231056,0.7352730064,0.4075049915,-0.3613993976,0.5082994571,0.3863263019,0.3230152583,0.4000914039,0.145063467,0.4098575237,-0.002921656,0.1583886574,0.0552184087,0.660518333,0.2771750917,0.4416225226,-0.5248286182,-0.4006098999,0.4044875317,0.5347044612
2/1/1969,0.247420318,0.2515557121,0.7740837122,0.0333826556,0.1258538824,0.0273283993,0.1899210855,-0.4790950084,-0.721892417,0.507492817,0.5298190175,1.4847794415,0.2855504427,0.6552667907,0.4172305028,0.2215028253,0.2230930165,0.3072103046,-0.1001564786,-0.0603645981,0.0685415569,-0.1411407561,0.6100270962,0.4282180067,0.3839075905,-0.7754013852,0.3579773152,0.4048433983,0.0624357437,0.0827097675,0.3618105669,0.2940111182,-0.3754786123,0.3852555446,0.2201250116,0.4503585928,0.1130476996,0.3381237181,0.248633874,-0.0535089152,0.3901811254,0.3891196809,0.319592948,0.5726572844,0.249515159,0.0220338788,0.2365809294,-0.2766179389,0.2306555355,0.5564385851,0.4953528465
3/1/1969,0.1462327823,0.5405043862,0.5078129722,0.3009925581,0.2392243496,0.269959302,0.7017631652,1.7631931969,-0.121395397,0.5387300148,0.2521460714,-1.0254094092,0.349210893,-0.1073527841,0.1333355919,0.2089885681,-0.0267904291,-0.114565794,0.7381953846,0.0353853264,0.5868200026,0.2069502789,0.2555700874,0.4255034077,0.1591864216,0.3165860926,0.0484710134,0.2027038172,0.6944045714,0.3997999279,0.4770948923,0.0472953918,0.6097368514,0.1291459253,0.0952612192,0.2974156433,-0.3591825224,0.8951622656,0.1516207069,-0.4733897662,0.3967720462,-0.1781796017,-0.0822120685,0.3656612944,-0.1247901135,0.2008020855,0.0909774601,1.0366012302,-0.3742381867,0.128924057,-0.0847080929
4/1/1969,0.403522422,3.0849876302,0.3972719793,0.0447596179,0.7542523064,0.6677505106,0.4162937704,-1.7205736619,0.1136038036,0.3018646077,0.48250315,1.5130688966,0.3734368586,0.0368655617,0.3494456574,0.0980055739,0.3307878134,0.0366385226,0.6281400761,0.1550834835,-0.1469889518,0.7884120073,-0.9255939033,0.1731938017,0.0583383353,0.4543273224,-0.2417806755,0.4950942454,1.5618317196,-0.0626524909,0.409908446,0.5849728536,0.2593128873,0.0415428331,0.1353524129,0.1110465117,0.9929100611,0.2640490058,0.1451079038,1.2472470465,0.2129802957,0.5961554241,0.2110252187,0.3575995513,0.1471229209,1.1220835632,0.4553896217,0.2068110721,0.105505258,0.2962596054,1.0153369304
5/1/1969,0.5421369611,0.6423647803,0.7071153042,0.4966283249,0.4509928354,0.2700477571,0.3457309662,1.324144011,-0.6607953753,0.7913183455,0.1939399685,0.5818166878,0.2627395228,0.2228171696,0.1575135199,0.3250148553,-0.1876128691,0.1961257455,0.441975802,0.0517434241,-0.0234815858,0.099062202,1.1182213168,0.3579407717,0.457993933,-0.3621108724,0.1567992057,0.5053474158,0.9534109529,0.4206003767,0.2105649484,0.1276119748,0.2841094041,0.2158167446,0.2268556786,0.4671498102,0.350342098,0.5315798104,0.4289051797,0.2533996799,0.6283098724,0.738531723,0.6099444685,0.4236366784,0.4207272942,-0.4149450276,0.2623711116,0.4020686363,0.4513059307,-0.0469344346,0.423112512
6/1/1969,0.3792726731,0.0090856781,1.332571651,0.2575486317,0.1656101187,0.7046009549,-0.0272985698,0.6562105437,0.0578767807,0.6041799138,0.5571527137,0.4558621788,0.2716086061,0.0862030153,0.4512777044,0.3281448361,-0.0318711353,0.5381086002,0.2005078776,0.2174381604,0.863768944,0.2771090798,-0.0344080193,0.5578971477,0.1591344903,0.1684485347,-0.3433200028,0.4849475671,1.5272881741,0.8943366166,0.3552043563,0.1990291226,0.1579918703,0.5377198772,0.0347921943,0.3332832697,0.1577779381,0.1599102351,0.338700312,-0.0435532096,0.3733197667,0.4856594047,0.0101230137,0.4327458594,0.2524256984,0.35462423,0.104367548,-0.0617482333,-0.1859155017,0.2820185662,0.5832556882
7/1/1969,0.0351090061,0.2710166122,1.1542857379,0.3097074692,0.460985453,0.2389375655,0.56202749,-0.8417256932,-0.1841329813,-0.2672091795,0.6356903565,0.5659648463,0.1051108283,-0.0267104783,-0.0977256225,-0.0103975471,0.2877020445,-0.0801478974,0.2589777464,-0.1813128337,0.3025721337,0.3920588928,0.636528175,-0.0450392419,0.0373935244,0.1731523265,0.4567736555,-0.1469370999,0.9491249979,0.2072216186,0.2361840137,0.2734581487,0.2666711891,0.112964063,-0.0244798192,-0.0185683428,0.2189784402,0.1936319214,-0.0515328479,-0.647804156,0.2090159146,0.8955221129,0.1282089307,0.5589499929,0.3096534066,0.167364208,0.3087115416,-0.4207163448,-0.4056804386,0.0450024364,-0.7799474064
8/1/1969,0.0654542,0.5019100549,0.7925915825,0.0732075661,0.1856319756,0.2544131876,-1.3216598301,3.5237284427,0.2505809377,0.6001715154,0.6861273958,1.0908750824,1.220048037,0.050109475,-0.0192281037,0.1184870539,-0.0170736065,-0.3309024242,0.0280128393,-0.2022869402,0.2963868407,0.0860210772,0.3816307647,0.3709049657,0.8404745265,0.9130034262,0.4057623613,0.099207061,0.5312575414,0.1185552478,0.4115005779,0.3678851079,0.1459959897,0.2563329283,0.6246948727,0.4972996155,0.3865250106,-0.3036258101,0.1659677846,-0.117382218,0.4075106783,0.0062391897,0.0052019922,0.3997368002,0.6525773557,0.3929457969,0.0568903346,-0.1612705376,0.4600694082,0.6480279418,0.9166688977
